"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"113","FBgn0002773",11020.7566243113,0.492171830087682,0.106198531637231,34.1642226637442,3.81358393399212e-08,3.87547104169287e-06,"Mlc2"
"114","FBgn0025885",5958.73259428479,0.286452851692105,0.0647276448020356,34.1672997387761,3.80772110328841e-08,3.87547104169287e-06,"Inos"
"115","FBgn0036023",240.036634356136,-2.58287666555785,0.39157293758673,34.1164913050663,3.90569244962482e-08,3.93456061120901e-06,"CG18179"
"116","FBgn0004885",3579.88351140921,-0.254734713440801,0.0708033035561939,34.0110478562351,4.11713204685224e-08,4.11180816920545e-06,"tok"
"117","FBgn0003137",2593.80819140454,0.74546311934792,0.153130037860452,33.9729237702228,4.19636577415756e-08,4.15511944389874e-06,"Ppn"
"118","FBgn0033502",161.323416562535,0.773674637479034,0.153119156841966,33.9450890953422,4.25517630641161e-08,4.17764555167614e-06,"CG12910"
"119","FBgn0002609",98.5009864346576,0.485736742011828,0.14060087427328,33.8643333024922,4.43050730236066e-08,4.31322916788641e-06,"E(spl)m3-HLH"
"120","FBgn0038603",1261.84025504822,0.690342689521356,0.118964601956957,33.8161678110504,4.53850125917356e-08,4.38154475729381e-06,"PKD"
"121","FBgn0031970",258.445290886362,1.10981819500713,0.188173886856837,33.7316490030926,4.73440586943932e-08,4.49696577661545e-06,"CG7227"
"122","FBgn0028983",676.150760321341,0.169733298282895,0.1016827693505,33.7060942712284,4.79528722911573e-08,4.49696577661545e-06,"Spn55B"
"123","FBgn0031836",3729.00867793033,0.250444713738499,0.0507898541773881,33.6985850634724,4.81332547518615e-08,4.49696577661545e-06,"CG11050"
"124","FBgn0010424",455.116483365633,0.700472281557737,0.128675029303873,33.7266281946269,4.74630607288496e-08,4.49696577661545e-06,"TpnC73F"
"125","FBgn0014931",260.696401415925,-0.448384210595537,0.0886915859534311,33.5906696085426,5.08017616775516e-08,4.70830727227548e-06,"CG2678"
"126","FBgn0029118",803.556235241201,0.0516018460426408,0.0553400020878058,33.5555268026729,5.17023086682856e-08,4.74338960930233e-06,"Sucb"
"127","FBgn0263118",126.243852540357,0.437413355992847,0.095392684801841,33.5440758415698,5.19991782806557e-08,4.74338960930233e-06,"tx"
"128","FBgn0032358",1259.14408743177,-0.243833059471942,0.0650203085300804,33.4581490449766,5.42819258609594e-08,4.91293836796261e-06,"Ppt2"
"129","FBgn0031850",600.803563399527,0.597245249834428,0.104344361626754,33.1946550407106,6.19258880861483e-08,5.55359036923779e-06,"Tsp"
"130","FBgn0267041",120.652845065816,-1.43566042386304,0.239214415191528,33.1819958247978,6.23190977989567e-08,5.55359036923779e-06,"CR45485"
"131","FBgn0262003",449.166065726331,-0.617750657544333,0.11844413742432,33.1325980501662,6.38774760562978e-08,5.64901190925351e-06,"CG42821"
"132","FBgn0001565",2657.13244527466,0.206652348473073,0.0433641787048357,33.0749370922487,6.57458986274202e-08,5.77019875453533e-06,"Hlc"
"133","FBgn0039900",1054.00084999644,0.602700857689586,0.108954907315703,32.7638569996531,7.68101918032042e-08,6.69057197022647e-06,"Syt7"
"134","FBgn0044011",218.93080975997,-0.893205477781198,0.156055118528188,32.6850744927423,7.98962238396988e-08,6.90744591927546e-06,"Spn43Ad"
"135","FBgn0039450",1050.82644301216,-0.18769698320924,0.0358190260626215,32.6310700373555,8.20829907908246e-08,7.04393665416076e-06,"CG5484"
"136","FBgn0000053",7219.48148917856,-0.952090096214996,0.161402164252923,32.5519474010498,8.53953915668913e-08,7.27430596545909e-06,"ade3"
"137","FBgn0039094",1153.0207121883,-0.920873498756385,0.164650176028483,32.378416275697,9.31357120768855e-08,7.87574616358189e-06,"CG10184"
"138","FBgn0037835",946.473090026237,0.216187277669491,0.0783758251656539,32.3496160539744,9.44865796339579e-08,7.9320798917348e-06,"CG14687"
"139","FBgn0031002",490.75136336747,0.502862857194756,0.0961397829151018,32.3234812954069,9.57293739551037e-08,7.97859566381206e-06,"CG14196"
"140","FBgn0050489",890.486741771015,-0.763027033952361,0.167815512760684,32.2699127320885,9.83280631255606e-08,8.13664722364014e-06,"Cyp12d1-p"
"141","FBgn0013307",2498.79616777947,0.947223837037172,0.179906413103678,32.2040191765567,1.01621613992719e-07,8.34954892273508e-06,"Odc1"
"142","FBgn0053503",750.954228819762,-0.756541205636004,0.167924765516053,31.998097359813,1.12642282631074e-07,9.18986510057036e-06,"Cyp12d1-d"
"143","FBgn0262887",185.991026295659,0.267073220130272,0.0523966756422876,31.9752421660207,1.13936896303435e-07,9.2304821236035e-06,"CR43242"
"144","FBgn0039543",1858.41823034854,0.431043247579442,0.0804648479387548,31.8642755130716,1.20437154855048e-07,9.68933638191482e-06,"CG12428"
