"","x"
"1352","Ugt37c1"
"1353","Muc12Ea"
"1354","CG34376"
"1355","Buffy"
"1356","CG14410"
"1357","CG11257"
"1358","CG32486"
"1359","sesB"
"1360","hid"
"1361","wek"
"1362","CG5888"
"1363","CG17834"
"1364","Drs"
"1365","Dip-C"
"1366","Ns2"
"1367","CG9886"
"1368","CG16953"
"1369","Srp54"
"1370","CG14535"
"1371","Gbeta5"
"1372","CR45115"
"1373","PIG-L"
"1374","CG6724"
"1375","mab-21"
"1376","RpIII128"
"1377","Tmc"
"1378","Hsp67Ba"
"1379","Trl"
"1380","CG4409"
"1381","CG15537"
"1382","Gr98a"
"1383","eco"
"1384","CG42239"
"1385","Amy-p"
"1386","cue"
"1387","CG31381"
"1388","CG30271"
"1389","CG14298"
"1390","CG4461"
"1391","CG14502"
"1392","CG17078"
"1393","mIF3"
"1394","CG7011"
"1395","CG17108"
"1396","Ccm3"
"1397","agt"
"1398","Octbeta3R"
"1399","CG12171"
"1400","cmpy"
"1401","CG5913"
"1402","ninaB"
"1403","dx"
"1404","CG15771"
"1405","VAChT"
"1406","COX6B"
"1407","GstD8"
"1408","Tep2"
"1409","Tpi"
"1410","nom"
"1411","p38c"
"1412","Myo95E"
"1413","CG4332"
"1414","CG17807"
"1415","svp"
"1416","Mdr49"
"1417","Pfk"
"1418","Ilp5"
"1419","CG42747"
"1420","CG42329"
"1421","hpRNA:CR18854"
"1422","CR43973"
"1423","CG45105"
"1424","CG10189"
"1425","CG15210"
"1426","CG13616"
"1427","CG10680"
"1428","Sp7"
"1429","NP15.6"
"1430","Cpsf100"
"1431","RIC-3"
"1432","CG1309"
"1433","CG9706"
"1434","CG7600"
"1435","Dop2R"
"1436","PheRS-m"
"1437","dpr19"
"1438","CG18304"
"1439","CG8202"
"1440","CG17324"
"1441","CR45143"
"1442","Spindly"
"1443","CG4984"
"1444","CG7091"
"1445","sel"
"1446","mfrn"
"1447","L2HGDH"
"1448","Gmd"
"1449","CG15097"
"1450","Tango13"
"1451","mdlc"
"1452","Vha13"
"1453","CG9084"
"1454","Poxn"
"1455","Leash"
"1456","daw"
"1457","CG1103"
"1458","CG34355"
"1459","Pglym78"
"1460","CG45050"
"1461","CR45683"
"1462","CG4306"
"1463","Gcn2"
"1464","CG5938"
"1465","Cyp1"
