sn,pl3c
1088,FBgn0020620
1089,FBgn0020621
1090,FBgn0020622
1091,FBgn0266310
1092,FBgn0028430
1093,FBgn0266312
1094,FBgn0266313
1095,FBgn0266314
1096,FBgn0266315
1097,FBgn0266316
1098,FBgn0266317
1099,FBgn0266318
1100,FBgn0266319
1101,FBgn0033668
1102,FBgn0033669
1103,FBgn0266868
1104,FBgn0266869
1105,FBgn0001125
1106,FBgn0040843
1107,FBgn0032399
1108,FBgn0003046
1109,FBgn0032821
1110,FBgn0032820
1111,FBgn0032395
1112,FBgn0032822
1113,FBgn0032393
1114,FBgn0032824
1115,FBgn0032391
1116,FBgn0032390
1117,FBgn0003044
1118,FBgn0035626
1119,FBgn0035627
1120,FBgn0035624
1121,FBgn0035625
1122,FBgn0035622
1123,FBgn0035623
1124,FBgn0035620
1125,FBgn0003042
1126,FBgn0261381
1127,FBgn0003517
1128,FBgn0013720
1129,FBgn0013726
1130,FBgn0013725
1131,FBgn0034154
1132,FBgn0002022
1133,FBgn0033848
1134,FBgn0002023
1135,FBgn0262485
1136,FBgn0261437
1137,FBgn0002021
1138,FBgn0039698
1139,FBgn0052128
1140,FBgn0052129
1141,FBgn0052123
1142,FBgn0052121
1143,FBgn0052126
1144,FBgn0032287
1145,FBgn0036550
1146,FBgn0265375
1147,FBgn0028292
1148,FBgn0039259
1149,FBgn0032538
1150,FBgn0032283
1151,FBgn0032533
1152,FBgn0039252
1153,FBgn0039251
1154,FBgn0032530
1155,FBgn0039257
1156,FBgn0032536
1157,FBgn0032535
1158,FBgn0039254
1159,FBgn0029740
1160,FBgn0262524
1161,FBgn0029745
1162,FBgn0029746
1163,FBgn0029747
1164,FBgn0265428
1165,FBgn0262529
1166,FBgn0262528
1167,FBgn0265069
1168,FBgn0265068
1169,FBgn0260011
1170,FBgn0265066
1171,FBgn0265065
1172,FBgn0265064
1173,FBgn0265063
1174,FBgn0265062
1175,FBgn0265061
1176,FBgn0265060
1177,FBgn0035298
1178,FBgn0263586
1179,FBgn0264253
1180,FBgn0264361
1181,FBgn0039449
1182,FBgn0267200
1183,FBgn0053462
1184,FBgn0030258
1185,FBgn0037950
1186,FBgn0265426
1187,FBgn0037955
1188,FBgn0037958
1189,FBgn0085489
