"FBgn","ModID"
"FBgn0010501","greenyellow"
"FBgn0034498","black"
"FBgn0051615","black"
"FBgn0029966","black"
"FBgn0029962","blue"
"FBgn0262560","black"
"FBgn0263260","cyan"
"FBgn0029969","black"
"FBgn0051616","black"
"FBgn0262945","black"
"FBgn0262948","red"
"FBgn0267207","turquoise"
"FBgn0262577","turquoise"
"FBgn0027528","cyan"
"FBgn0027529","grey"
"FBgn0027526","black"
"FBgn0027527","brown"
"FBgn0027524","black"
"FBgn0027525","blue"
"FBgn0027521","black"
"FBgn0034379","darkgrey"
"FBgn0266083","royalblue"
"FBgn0266084","brown"
"FBgn0267206","pink"
"FBgn0034372","turquoise"
"FBgn0034371","turquoise"
"FBgn0026320","brown"
"FBgn0037489","black"
"FBgn0037578","black"
"FBgn0030259","blue"
"FBgn0030706","blue"
"FBgn0065055","grey"
"FBgn0030704","pink"
"FBgn0030257","turquoise"
"FBgn0037570","turquoise"
"FBgn0030703","brown"
"FBgn0030700","black"
"FBgn0030701","salmon"
"FBgn0033471","black"
"FBgn0036150","blue"
"FBgn0085256","turquoise"
"FBgn0036152","grey"
"FBgn0036155","pink"
"FBgn0036157","turquoise"
"FBgn0033476","turquoise"
"FBgn0036629","black"
"FBgn0015519","blue"
"FBgn0015040","turquoise"
"FBgn0040717","turquoise"
"FBgn0040715","blue"
"FBgn0015513","grey"
"FBgn0038282","blue"
"FBgn0267689","blue"
"FBgn0038286","grey"
"FBgn0026433","black"
"FBgn0026432","grey"
"FBgn0026431","lightcyan"
"FBgn0026430","black"
"FBgn0262582","lightcyan"
"FBgn0050360","brown"
"FBgn0050361","blue"
"FBgn0013263","blue"
"FBgn0058182","black"
"FBgn0265702","red"
"FBgn0013269","black"
"FBgn0264815","blue"
"FBgn0264817","black"
"FBgn0021800","darkgrey"
"FBgn0051413","turquoise"
"FBgn0051410","brown"
"FBgn0264819","blue"
"FBgn0051415","blue"
"FBgn0051414","turquoise"
"FBgn0267351","pink"
"FBgn0267350","red"
"FBgn0030870","pink"
"FBgn0030871","black"
"FBgn0030872","turquoise"
"FBgn0030873","grey"
"FBgn0030874","black"
"FBgn0037396","turquoise"
"FBgn0030877","black"
"FBgn0038854","greenyellow"
"FBgn0050098","turquoise"
"FBgn0050099","red"
"FBgn0050094","black"
"FBgn0050096","black"
"FBgn0050090","turquoise"
"FBgn0050091","turquoise"
"FBgn0050093","turquoise"
"FBgn0038855","black"
"FBgn0032700","darkgrey"
"FBgn0032701","darkturquoise"
"FBgn0023528","lightcyan"
"FBgn0032703","black"
"FBgn0032706","cyan"
