"FBgn","ModID"
"FBgn0023407","darkgrey"
"FBgn0035936","salmon"
"FBgn0029587","darkgrey"
"FBgn0034716","turquoise"
"FBgn0038666","black"
"FBgn0034570","darkgreen"
"FBgn0082999","blue"
"FBgn0082994","red"
"FBgn0032017","salmon"
"FBgn0037009","turquoise"
"FBgn0052343","black"
"FBgn0053221","darkgrey"
"FBgn0028515","brown"
"FBgn0260795","darkgrey"
"FBgn0052571","cyan"
"FBgn0029176","brown"
"FBgn0260940","darkred"
"FBgn0025700","cyan"
"FBgn0260944","black"
"FBgn0031738","cyan"
"FBgn0031736","salmon"
"FBgn0030065","darkgrey"
"FBgn0031607","lightyellow"
"FBgn0034389","darkgreen"
"FBgn0030605","cyan"
"FBgn0011770","cyan"
"FBgn0086785","lightyellow"
"FBgn0266635","brown"
"FBgn0034963","darkgrey"
"FBgn0034965","pink"
"FBgn0002891","pink"
"FBgn0261963","darkgrey"
"FBgn0001122","darkgreen"
"FBgn0029648","cyan"
"FBgn0037529","cyan"
"FBgn0085353","turquoise"
"FBgn0035951","salmon"
"FBgn0040068","red"
"FBgn0035371","darkgreen"
"FBgn0035372","turquoise"
"FBgn0036746","darkgreen"
"FBgn0001324","royalblue"
"FBgn0036860","blue"
"FBgn0034598","darkgreen"
"FBgn0051548","turquoise"
"FBgn0010380","tan"
"FBgn0000008","darkgreen"
"FBgn0283469","cyan"
"FBgn0036735","lightcyan"
"FBgn0033925","salmon"
"FBgn0033924","blue"
"FBgn0085478","darkgreen"
"FBgn0041111","darkgreen"
"FBgn0037027","black"
"FBgn0037024","greenyellow"
"FBgn0036192","brown"
"FBgn0004103","darkgreen"
"FBgn0035569","turquoise"
"FBgn0033748","salmon"
"FBgn0032298","greenyellow"
"FBgn0032292","cyan"
"FBgn0038590","tan"
"FBgn0025726","red"
"FBgn0025725","cyan"
"FBgn0031710","pink"
"FBgn0030593","turquoise"
"FBgn0000259","lightcyan"
"FBgn0000251","greenyellow"
"FBgn0067864","salmon"
"FBgn0261641","darkgrey"
"FBgn0261647","red"
"FBgn0029849","cyan"
"FBgn0051151","pink"
"FBgn0051158","darkgrey"
"FBgn0020496","pink"
"FBgn0033244","darkgreen"
"FBgn0034902","cyan"
"FBgn0036058","royalblue"
"FBgn0036059","darkgreen"
"FBgn0033029","lightcyan"
"FBgn0036667","black"
"FBgn0267568","darkgreen"
"FBgn0041585","darkgreen"
"FBgn0014380","turquoise"
"FBgn0032193","lightcyan"
"FBgn0032197","black"
"FBgn0086667","black"
"FBgn0034072","darkgreen"
"FBgn0259231","blue"
"FBgn0054002","black"
"FBgn0030757","darkgrey"
"FBgn0033734","cyan"
"FBgn0024806","darkgreen"
"FBgn0014163","pink"
"FBgn0000339","darkred"
"FBgn0011661","darkgreen"
"FBgn0034022","steelblue"
"FBgn0031500","cyan"
"FBgn0029939","red"
"FBgn0031052","tan"
"FBgn0267773","cyan"
"FBgn0039689","darkred"
"FBgn0267488","pink"
"FBgn0265434","steelblue"
"FBgn0039537","cyan"
"FBgn0035508","brown"
"FBgn0033769","turquoise"
"FBgn0267507","cyan"
"FBgn0033760","turquoise"
"FBgn0036317","darkgreen"
"FBgn0022986","darkgrey"
"FBgn0022985","pink"
"FBgn0022984","red"
"FBgn0039993","brown"
"FBgn0250907","darkgreen"
"FBgn0264707","darkgrey"
"FBgn0025639","pink"
"FBgn0039338","salmon"
"FBgn0263996","darkgreen"
"FBgn0259212","pink"
"FBgn0025740","darkgreen"
"FBgn0003575","royalblue"
"FBgn0052772","salmon"
"FBgn0263002","brown"
"FBgn0032130","black"
"FBgn0031997","black"
"FBgn0029737","cyan"
"FBgn0030027","darkgrey"
"FBgn0030026","darkred"
"FBgn0034253","black"
"FBgn0036078","blue"
"FBgn0004370","darkgreen"
"FBgn0004373","darkgreen"
"FBgn0250911","pink"
"FBgn0050489","turquoise"
"FBgn0050480","turquoise"
"FBgn0003747","red"
"FBgn0037849","blue"
"FBgn0037841","darkgrey"
"FBgn0062442","cyan"
"FBgn0261872","darkgreen"
"FBgn0035334","turquoise"
"FBgn0037374","lightyellow"
"FBgn0267849","blue"
"FBgn0030890","black"
"FBgn0030891","tan"
"FBgn0040623","cyan"
"FBgn0026079","greenyellow"
"FBgn0052250","brown"
"FBgn0250814","turquoise"
"FBgn0052259","blue"
