GO_cat,aging
lip_met_proc,FBgn0034141
lip_met_proc,FBgn0034145
lip_met_proc,FBgn0034166
lip_met_proc,FBgn0034179
lip_met_proc,FBgn0034240
lip_met_proc,FBgn0034270
lip_met_proc,FBgn0034346
lip_met_proc,FBgn0034382
lip_met_proc,FBgn0034383
lip_met_proc,FBgn0034488
lip_met_proc,FBgn0034491
lip_met_proc,FBgn0034552
lip_met_proc,FBgn0034553
lip_met_proc,FBgn0034588
lip_met_proc,FBgn0034628
lip_met_proc,FBgn0034629
lip_met_proc,FBgn0034649
lip_met_proc,FBgn0034657
lip_met_proc,FBgn0034691
lip_met_proc,FBgn0034789
lip_met_proc,FBgn0034997
lip_met_proc,FBgn0034999
lip_met_proc,FBgn0035006
lip_met_proc,FBgn0035065
lip_met_proc,FBgn0035203
lip_met_proc,FBgn0035233
lip_met_proc,FBgn0035265
lip_met_proc,FBgn0035266
lip_met_proc,FBgn0035383
lip_met_proc,FBgn0035392
lip_met_proc,FBgn0035401
lip_met_proc,FBgn0035435
lip_met_proc,FBgn0035453
lip_met_proc,FBgn0035464
lip_met_proc,FBgn0035471
lip_met_proc,FBgn0035517
lip_met_proc,FBgn0035529
lip_met_proc,FBgn0035586
lip_met_proc,FBgn0035641
lip_met_proc,FBgn0035811
lip_met_proc,FBgn0035914
lip_met_proc,FBgn0035945
lip_met_proc,FBgn0036053
lip_met_proc,FBgn0036058
lip_met_proc,FBgn0036090
lip_met_proc,FBgn0036128
lip_met_proc,FBgn0036144
lip_met_proc,FBgn0036210
lip_met_proc,FBgn0036273
lip_met_proc,FBgn0036367
lip_met_proc,FBgn0036397
lip_met_proc,FBgn0036449
lip_met_proc,FBgn0036484
lip_met_proc,FBgn0036545
lip_met_proc,FBgn0036550
lip_met_proc,FBgn0036551
lip_met_proc,FBgn0036552
lip_met_proc,FBgn0036553
lip_met_proc,FBgn0036560
lip_met_proc,FBgn0036691
lip_met_proc,FBgn0036698
lip_met_proc,FBgn0036713
lip_met_proc,FBgn0036821
lip_met_proc,FBgn0036836
lip_met_proc,FBgn0036837
lip_met_proc,FBgn0036893
lip_met_proc,FBgn0036977
lip_met_proc,FBgn0036996
lip_met_proc,FBgn0037010
lip_met_proc,FBgn0037019
lip_met_proc,FBgn0037027
lip_met_proc,FBgn0037044
lip_met_proc,FBgn0037063
lip_met_proc,FBgn0037064
lip_met_proc,FBgn0037108
lip_met_proc,FBgn0037110
lip_met_proc,FBgn0037163
lip_met_proc,FBgn0037164
lip_met_proc,FBgn0037165
lip_met_proc,FBgn0037166
lip_met_proc,FBgn0037167
lip_met_proc,FBgn0037315
lip_met_proc,FBgn0037339
lip_met_proc,FBgn0037341
lip_met_proc,FBgn0037356
lip_met_proc,FBgn0037440
lip_met_proc,FBgn0037534
lip_met_proc,FBgn0037535
lip_met_proc,FBgn0037612
lip_met_proc,FBgn0037618
lip_met_proc,FBgn0037743
lip_met_proc,FBgn0037761
lip_met_proc,FBgn0037762
lip_met_proc,FBgn0037763
lip_met_proc,FBgn0037764
lip_met_proc,FBgn0037765
lip_met_proc,FBgn0037819
lip_met_proc,FBgn0037896
lip_met_proc,FBgn0037915
lip_met_proc,FBgn0037916
lip_met_proc,FBgn0037976
lip_met_proc,FBgn0037996
lip_met_proc,FBgn0037999
lip_met_proc,FBgn0038008
lip_met_proc,FBgn0038058
lip_met_proc,FBgn0038067
lip_met_proc,FBgn0038068
lip_met_proc,FBgn0038069
lip_met_proc,FBgn0038070
lip_met_proc,FBgn0038130
lip_met_proc,FBgn0038167
lip_met_proc,FBgn0038197
lip_met_proc,FBgn0038198
lip_met_proc,FBgn0038398
lip_met_proc,FBgn0038432
lip_met_proc,FBgn0038486
lip_met_proc,FBgn0038649
lip_met_proc,FBgn0038730
lip_met_proc,FBgn0038731
lip_met_proc,FBgn0038732
lip_met_proc,FBgn0038733
lip_met_proc,FBgn0038734
lip_met_proc,FBgn0038763
lip_met_proc,FBgn0038828
lip_met_proc,FBgn0038876
lip_met_proc,FBgn0038983
lip_met_proc,FBgn0038984
lip_met_proc,FBgn0038986
lip_met_proc,FBgn0039010
lip_met_proc,FBgn0039030
lip_met_proc,FBgn0039044
lip_met_proc,FBgn0039114
lip_met_proc,FBgn0039126
lip_met_proc,FBgn0039141
lip_met_proc,FBgn0039156
lip_met_proc,FBgn0039184
lip_met_proc,FBgn0039344
lip_met_proc,FBgn0039360
lip_met_proc,FBgn0039378
lip_met_proc,FBgn0039405
lip_met_proc,FBgn0039470
lip_met_proc,FBgn0039471
lip_met_proc,FBgn0039472
lip_met_proc,FBgn0039473
lip_met_proc,FBgn0039474
lip_met_proc,FBgn0039475
lip_met_proc,FBgn0039476
lip_met_proc,FBgn0039518
lip_met_proc,FBgn0039543
lip_met_proc,FBgn0039625
lip_met_proc,FBgn0039639
lip_met_proc,FBgn0039655
lip_met_proc,FBgn0039698
lip_met_proc,FBgn0039754
lip_met_proc,FBgn0039755
lip_met_proc,FBgn0039756
lip_met_proc,FBgn0039768
lip_met_proc,FBgn0039769
lip_met_proc,FBgn0039774
lip_met_proc,FBgn0039924
lip_met_proc,FBgn0040064
lip_met_proc,FBgn0040212
lip_met_proc,FBgn0040336
lip_met_proc,FBgn0040349
lip_met_proc,FBgn0040918
lip_met_proc,FBgn0041087
lip_met_proc,FBgn0041191
lip_met_proc,FBgn0041342
lip_met_proc,FBgn0042175
