"","Var1","Freq"
"1038","FBgn0039093",1
"1039","FBgn0039104",1
"1040","FBgn0039124",1
"1041","FBgn0039177",1
"1042","FBgn0039190",1
"1043","FBgn0039192",1
"1044","FBgn0039193",1
"1045","FBgn0039194",1
"1046","FBgn0039195",1
"1047","FBgn0039196",1
"1048","FBgn0039197",2
"1049","FBgn0039198",2
"1050","FBgn0039199",1
"1051","FBgn0039201",2
"1052","FBgn0039217",3
"1053","FBgn0039235",2
"1054","FBgn0039237",1
"1055","FBgn0039246",1
"1056","FBgn0039288",1
"1057","FBgn0039294",3
"1058","FBgn0039366",2
"1059","FBgn0039367",1
"1060","FBgn0039368",3
"1061","FBgn0039369",1
"1062","FBgn0039370",1
"1063","FBgn0039371",2
"1064","FBgn0039373",2
"1065","FBgn0039374",1
"1066","FBgn0039376",1
"1067","FBgn0039378",1
